NHPDPropertyID,PropertyName,PropertyAddress,City,State,Zip,CBSACode,CBSAType,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,ReacScore1,ReacScore2,TargetTenantType,S8_1_ProgramName,S8_1_AssistedUnits,S8_1_RentToFMR,LIHTC_1_ProgramName,S8_2_ID
1001178,WATTS ARMS I,10130 Beach St,Los Angeles,CA,90002-3921,31080,Metropolitan Statistical Area,Los Angeles,6037,6037242200,44,33.94,-118,87c,80c,Family,LMSA,104,80.46,,
1001188,LA PRO II,1100 S Berendo St,Los Angeles,CA,90006-3353,31080,Metropolitan Statistical Area,Los Angeles,6037,6037213320,34,34.05,-118,84c,85c,Family,LMSA,80,95.4,,
1001190,BILLY G MILLS MANOR,1115 W 37th Pl,Los Angeles,CA,90007-4276,31080,Metropolitan Statistical Area,Los Angeles,6037,6037222600,37,34.02,-118,84b*,96c*,Family,Sec 8 NC,102,106.57,,
1001192,DOLORES-FRANCES APARTMENTS,1119 W 17th St,Los Angeles,CA,90015-3385,31080,Metropolitan Statistical Area,Los Angeles,6037,6037224320,34,34.04,-118,73b,79c,Family,Sec 8 NC,18,88.28,,CA168023019
1001194,SUNSET-NORMANDIE TOWERS,1428 N Normandie Ave,Los Angeles,CA,90027-5846,31080,Metropolitan Statistical Area,Los Angeles,6037,6037191201,28,34.1,-118,78c,95b,Elderly,Sec 8 NC,147,107.72,,
1001196,LA POSADA,151 N Sunol Dr,Los Angeles,CA,90063-1400,31080,Metropolitan Statistical Area,Los Angeles,6037,6037531102,40,34.04,-118,88c,82c,Elderly,202/8 NC,74,84.88,,
1001204,HARVARD GARDENS,1938 S Harvard Blvd,Los Angeles,CA,90018,31080,Metropolitan Statistical Area,Los Angeles,6037,6037221402,34,34.04,-118,92c,96b*,Family,Sec 8 NC,35,93.9,,
1001206,ST ANDREWS GARDENS,2062 W Adams Blvd,Los Angeles,CA,90018-2054,31080,Metropolitan Statistical Area,Los Angeles,6037,6037221401,37,34.03,-118,91b,91b,Family,Preservation,175,97.7,,
1001212,MIYAKO GARDEN APARTMENTS,223 S Central Ave,Los Angeles,CA,90012-4211,31080,Metropolitan Statistical Area,Los Angeles,6037,6037206200,34,34.05,-118,81c,92a,Elderly,Sec 8 NC,100,137.79,,
1001216,VAN BUREN APARTMENTS,2723 Van Buren Pl,Los Angeles,CA,90007-2166,31080,Metropolitan Statistical Area,Los Angeles,6037,6037222200,37,34.03,-118,93b,93b,Family,LMSA,28,58.4,,
1001222,LAS PALOMAS APARTMENTS,3025 Gleason Ave,Los Angeles,CA,90063-3066,31080,Metropolitan Statistical Area,Los Angeles,6037,6037204110,34,34.04,-118,35c,84b,Elderly,Sec 8 NC,47,98.69,,
1001234,FAIRMOUNT TERRACE I AND II,4000 Fairmount St,Los Angeles,CA,90063-3349,31080,Metropolitan Statistical Area,Los Angeles,6037,6037530902,34,34.05,-118,88c,93b,Elderly,LMSA,207,105.13,,
1001236,STOVALL TERRACE APARTMENTS,4075 S Figueroa St,Los Angeles,CA,90037-2055,31080,Metropolitan Statistical Area,Los Angeles,6037,6037231720,37,34.01,-118,95b,95b,Elderly,202/8 NC,95,117.67,,
1001241,CASA SERENA APARTMENTS,5017 Axtell St,Los Angeles,CA,90032-2262,31080,Metropolitan Statistical Area,Los Angeles,6037,6037201503,34,34.09,-118,84b,93b,Elderly,Sec 8 NC,29,88.72,,
1001243,WESTSIDE JEWISH CENTER APARTMENTS,5877 San Vicente Blvd,Los Angeles,CA,90019-6623,31080,Metropolitan Statistical Area,Los Angeles,6037,6037216300,37,34.06,-118,96c,84b,Elderly,202/8 NC,102,120.06,,
1001245,HOLLYWOOD FOUNTAIN SOUTH,6222 Fountain Ave,Los Angeles,CA,90028-8273,31080,Metropolitan Statistical Area,Los Angeles,6037,6037190801,28,34.09,-118,90b,90b,Elderly,Sec 8 NC,72,118,,
1001260,HOLLYWOOD FOUNTAIN NORTH,6233 Fountain Ave,Los Angeles,CA,90028-8266,31080,Metropolitan Statistical Area,Los Angeles,6037,6037190801,28,34.09,-118,94c,94b*,Elderly,Sec 8 NC,88,120.74,,
1001262,80TH STREET APARTMENTS,710 W 80th St,Los Angeles,CA,90044-5945,31080,Metropolitan Statistical Area,Los Angeles,6037,6037238310,37,33.97,-118,93b,93b,Family,LMSA,16,83.43,,
1008098,CASA TELACU,251 S Arizona Ave,Los Angeles,CA,90022-1600,31080,Metropolitan Statistical Area,Los Angeles,6037,6037530500,40,34.03,-118,96b,80b,Elderly,202/8 NC,74,77.14,,
1008100,ADAMS BLVD APARTMENTS,4230 W Adams Blvd,Los Angeles,CA,90018-2275,31080,Metropolitan Statistical Area,Los Angeles,6037,6037218702,37,34.03,-118,99a,99a,Family,Sec 8 NC,12,94.06,,
1008102,CARONDELET SNR CIT APARTMENTS,512 S Carondelet St,Los Angeles,CA,90057-1868,31080,Metropolitan Statistical Area,Los Angeles,6037,6037208802,34,34.06,-118,99a,93b,Elderly,Sec 8 NC,46,100.47,,
1008104,S & J LIMITED II,679 E 41st St,Los Angeles,CA,90011-2738,31080,Metropolitan Statistical Area,Los Angeles,6037,6037228310,40,34.01,-118,91c*,85c*,Family,Sec 8 SR,73,84.47,,
1008105,IMOGENE HOUSING,716 Imogen Ave,Los Angeles,CA,90026-3582,31080,Metropolitan Statistical Area,Los Angeles,6037,6037195903,28,34.08,-118,86c,89b,Family,Sec 8 NC,16,100.73,,
1008488,ALLESANDRO STREET APARTMENTS,1934 Allesandro St,Los Angeles,CA,90039-3984,31080,Metropolitan Statistical Area,Los Angeles,6037,6037197410,28,34.09,-118,67c,67c,Disabled,PRAC/811,17,59.43,,
1008920,ECHO PARK SENIOR HOUSING,1727 Morton Ave,Los Angeles,CA,90026-2697,31080,Metropolitan Statistical Area,Los Angeles,6037,6037197300,28,34.08,-118,87b,87b,Elderly,PRAC/202,40,63.3,,
1009260,HELMS MANOR,3704 Military Ave,Los Angeles,CA,90034-7017,31080,Metropolitan Statistical Area,Los Angeles,6037,6037271801,37,34.02,-118,92b,90b,Disabled,PRAC/811,5,71.65,,
